0.1;1;0;0;0
0.1;1.02;0;0;0
0.1;1.04;0;0;0
0.1;1.06;0;0;0
0.1;1.08;0;0;6584
0.1;1.1;0;0;6584
0.1;1.12;0;0;6584
0.1;1.14;0;0;6584
0.1;1.16;0;0;6584
0.1;1.18;0;0;6584
0.1;1.2;0;0;6584
0.1;1.22;0;0;6584
0.1;1.24;0;0;6584
0.1;1.26;0;0;6584
0.1;1.28;6;6;6584
0.1;1.3;6;6;6584
0.1;1.32;6;12;6584
0.1;1.34;11;12;6584
0.1;1.36;40;27;6584
0.1;1.38;34;85;6584
0.1;1.4;100;90;6584
0.1;1.42;107;144;6584
0.1;1.44;203;136;6584
0.1;1.46;122;308;6584
0.1;1.48;116;298;6584
0.1;1.5;84;342;6584
0.1;1.52;516;319;6584
0.1;1.54;238;1011;6584
0.1;1.56;397;705;6584
0.1;1.58;326;1049;6584
0.1;1.6;1589;775;6584
0.1;1.62;1704;508;6584
0.1;1.64;1711;6566;6584
0.1;1.66;1704;6566;6584
0.1;1.68;1982;6566;6584
0.1;1.7;1977;6566;6584
0.1;1.72;2157;6566;6584
0.1;1.74;2061;6566;6584
0.1;1.76;2071;6566;6584
0.1;1.78;2986;6566;6584
0.1;1.8;3284;6566;6584
0.1;1.82;2445;6567;6584
0.1;1.84;3168;6570;6584
0.1;1.86;3163;6571;6584
0.1;1.88;2378;6574;6584
0.1;1.9;3163;6574;6584
0.1;1.92;3258;6574;6584
0.1;1.94;6584;6584;6584
0.1;1.96;6584;6584;6584
0.1;1.98;6584;6584;6584
0.5;1;0;0;0
0.5;1.02;0;0;0
0.5;1.04;0;0;0
0.5;1.06;0;0;0
0.5;1.08;0;0;0
0.5;1.1;0;0;6584
0.5;1.12;0;0;6584
0.5;1.14;0;0;6584
0.5;1.16;0;0;6584
0.5;1.18;0;0;6584
0.5;1.2;0;0;6584
0.5;1.22;0;0;6584
0.5;1.24;0;0;6584
0.5;1.26;0;0;6584
0.5;1.28;0;0;6584
0.5;1.3;0;0;6584
0.5;1.32;0;0;6584
0.5;1.34;20;1;6584
0.5;1.36;20;1;6584
0.5;1.38;19;0;6584
